InvoiceID,OrderID,CustomerID,InvoiceDate,InvoiceDueDate,InvoiceAmount,TaxAmount,TotalInvoiceAmount,InvoiceStatus,BillingAddress,GSTNumber,InvoiceType
INV-2024-001,SO-2024-001,C001,2024-01-22,2024-02-21,450000,81000,531000,Paid,Mumbai,27AAACT2727Q1ZW,Standard
INV-2024-002,SO-2024-002,C002,2024-01-24,2024-03-09,600000,108000,708000,Paid,Bangalore,29AAACI1681G1ZK,Standard
INV-2024-003,SO-2024-003,C003,2024-02-02,2024-03-03,160000,28800,188800,Paid,Bangalore,29AABCW0423A1Z2,Standard
INV-2024-004,SO-2024-004,C004,2024-02-05,2024-04-05,975000,175500,1150500,Paid,Delhi,06AAACH1068C1ZB,Standard
INV-2024-005,SO-2024-005,C005,2024-02-10,2024-03-11,250000,45000,295000,Paid,Pune,27AAACT5432R1ZP,Standard
INV-2024-006,SO-2024-006,C006,2024-02-08,2024-03-24,550000,99000,649000,Paid,Mumbai,27AAACM2111D1ZQ,Standard
INV-2024-007,SO-2024-007,C007,2024-02-09,2024-03-10,285000,51300,336300,Paid,Pune,27AAACB0480E1ZM,Standard
INV-2024-008,SO-2024-008,C008,2024-02-15,2024-04-15,500000,90000,590000,Paid,Mumbai,27AAACL0308B1ZK,Standard
INV-2024-009,SO-2024-009,C009,2024-02-28,2024-03-29,360000,64800,424800,Paid,Mumbai,27AABCA4430B1ZF,Standard
INV-2024-010,SO-2024-010,C010,2024-02-16,2024-03-17,75000,13500,88500,Paid,Mumbai,27AAACG1895G1ZA,Standard
INV-2024-011,SO-2024-011,C011,2024-02-21,2024-03-22,336000,60480,396480,Paid,Mumbai,27AAACS1899B1ZE,Standard
INV-2024-012,SO-2024-012,C012,2024-03-01,2024-04-15,1200000,216000,1416000,Paid,Mumbai,27AAACR4849E1ZK,Standard
INV-2024-013,SO-2024-013,C013,2024-02-27,2024-03-28,175000,31500,206500,Paid,Kolkata,19AAACI1560A1ZD,Standard
INV-2024-014,SO-2024-014,C014,2024-03-12,2024-04-11,220000,39600,259600,Paid,Delhi,07AAACD1645E1ZS,Standard
INV-2024-015,SO-2024-015,C015,2024-03-01,2024-04-15,760000,136800,896800,Paid,Mumbai,27AAACH0226C1ZL,Standard
INV-2024-016,SO-2024-016,C016,2024-03-14,2024-04-13,450000,81000,531000,Paid,Delhi,07AAACN2123B1ZW,Standard
INV-2024-017,SO-2024-017,C017,2024-03-05,2024-04-04,600000,108000,708000,Paid,Delhi,07AAACM2219K1ZP,Standard
INV-2024-018,SO-2024-018,C018,2024-03-10,2024-04-09,180000,32400,212400,Paid,Delhi,07AAACH1726E1Z1,Standard
INV-2024-019,SO-2024-019,C019,2024-03-18,2024-04-17,540000,97200,637200,Paid,Bangalore,29AAACT3120L1ZD,Standard
INV-2024-020,SO-2024-020,C020,2024-03-20,2024-05-19,850000,153000,1003000,Paid,Kolkata,19AAACT2909E1ZU,Standard
INV-2024-021,SO-2024-021,C001,2024-03-20,2024-04-19,120000,21600,141600,Paid,Mumbai,27AAACT2727Q1ZW,Standard
INV-2024-022,SO-2024-022,C003,2024-03-28,2024-04-27,560000,100800,660800,Paid,Bangalore,29AABCW0423A1Z2,Standard
INV-2024-023,SO-2024-023,C006,2024-03-29,2024-05-13,380000,68400,448400,Paid,Mumbai,27AAACM2111D1ZQ,Standard
INV-2024-024,SO-2024-024,C012,2024-04-01,2024-05-16,750000,135000,885000,Paid,Mumbai,27AAACR4849E1ZK,Standard
INV-2024-025,SO-2024-025,C015,2024-04-03,2024-05-18,700000,126000,826000,Paid,Mumbai,27AAACH0226C1ZL,Standard
INV-2024-026,SO-2024-026,C008,2024-04-05,2024-06-04,320000,57600,377600,Paid,Mumbai,27AAACL0308B1ZK,Standard
INV-2024-027,SO-2024-027,C002,2024-04-11,2024-05-26,555000,99900,654900,Paid,Bangalore,29AAACI1681G1ZK,Standard
INV-2024-028,SO-2024-028,C017,2024-04-15,2024-05-15,200000,36000,236000,Paid,Delhi,07AAACM2219K1ZP,Standard
INV-2024-029,SO-2024-029,C011,2024-04-12,2024-05-12,130000,23400,153400,Paid,Mumbai,27AAACS1899B1ZE,Standard
INV-2024-030,SO-2024-030,C020,2024-04-16,2024-06-15,475000,85500,560500,Paid,Kolkata,19AAACT2909E1ZU,Standard
INV-2024-031,SO-2024-031,C004,2024-04-22,2024-06-21,185000,33300,218300,Paid,Delhi,06AAACH1068C1ZB,Standard
INV-2024-032,SO-2024-032,C007,2024-04-30,2024-05-30,362500,65250,427750,Paid,Pune,27AAACB0480E1ZM,Standard
INV-2024-033,SO-2024-033,C009,2024-04-29,2024-05-29,95000,17100,112100,Paid,Mumbai,27AABCA4430B1ZF,Standard
INV-2024-034,SO-2024-034,C013,2024-04-30,2024-05-30,85000,15300,100300,Paid,Kolkata,19AAACI1560A1ZD,Standard
INV-2024-035,SO-2024-035,C016,2024-05-08,2024-06-07,250000,45000,295000,Paid,Delhi,07AAACN2123B1ZW,Standard
INV-2024-036,SO-2024-036,C005,2024-05-05,2024-06-04,225000,40500,265500,Paid,Pune,27AAACT5432R1ZP,Standard
INV-2024-037,SO-2024-037,C010,2024-05-10,2024-06-09,160000,28800,188800,Paid,Mumbai,27AAACG1895G1ZA,Standard
INV-2024-038,SO-2024-038,C014,2024-05-15,2024-06-14,110000,19800,129800,Paid,Delhi,07AAACD1645E1ZS,Standard
INV-2024-039,SO-2024-039,C019,2024-05-16,2024-06-15,95000,17100,112100,Paid,Bangalore,29AAACT3120L1ZD,Standard
INV-2024-040,SO-2024-040,C018,2024-05-17,2024-06-16,220000,39600,259600,Paid,Delhi,07AAACH1726E1Z1,Standard
